,end_time,energy_kWh,start_time,vehicle_id,,start_season,start_month,start_day,start_hour,start_min,end_season,end_month,end_day,end_hour,end_min,,same_day?,#_hours,start_hour_CI,mid_hours_total_CI,end_hour_CI,,#_min,start_hour_credits,mid_hour_credts,end_hour_credits,,total_credits
39,12/16/2018 0:55,2.656,12/15/2018 22:23,42P3,,4,12,15,22,23,4,12,16,0,55,,0,3,115.22,102.03,93.34,,152,-4.9971312E-05,-3.12513347368421E-05,1.41851368421053E-06,,-7.98041330526316E-05
40,12/15/2018 9:44,0.545999999999999,12/15/2018 9:03,63P5,,4,12,15,9,3,4,12,15,9,44,,1,1,94.27,0,0,,41,-1.02211199999999E-06,0,0,,-1.02211199999999E-06
41,12/15/2018 13:50,1.456,12/15/2018 9:58,63P5,,4,12,15,9,58,4,12,15,13,50,,1,5,94.27,271.27,92.03,,232,-2.34968275862068E-08,1.35287503448275E-05,1.94300689655172E-06,,1.5448260413793E-05
42,12/15/2018 14:09,17.64,12/15/2018 9:08,16P1,,4,12,15,9,8,4,12,15,14,9,,1,6,94.27,363.3,93.36,,301,-5.70481116279068E-06,0.000148105674419,7.40528372093015E-07,,0.000143141391628
43,12/15/2018 15:41,11.288,12/15/2018 12:28,57P9,,4,12,15,12,28,4,12,15,15,41,,1,4,91.17,185.39,95.25,,193,1.73832860518135E-05,2.66560563730572E-05,-1.29490321243523E-05,,3.10903103005183E-05
44,12/15/2018 17:32,4.648,12/15/2018 16:03,57P9,,4,12,15,16,3,4,12,15,17,32,,1,2,104.3,0,136.96,,89,-0.000113059205393,0,-0.000259963788944,,-0.000373022994337
45,12/15/2018 8:06,5.312,12/15/2018 7:03,34P3,,4,12,15,7,3,4,12,15,8,6,,1,2,122.4,0,109.22,,63,-0.000495700662857,0,-2.8174848E-05,,-0.000523875510857
46,12/15/2018 3:12,0.364,12/15/2018 2:53,14P9,,4,12,15,2,53,4,12,15,3,12,,1,2,88.55,0,87.8,,19,2.51045052631579E-06,0,4.9243452631579E-06,,7.43479578947369E-06
47,12/15/2018 15:26,8.008,12/15/2018 7:03,14P9,,4,12,15,7,3,4,12,15,15,26,,1,9,122.4,660.15,95.25,,503,-9.35961666799205E-05,-1.34114099403579E-05,-2.23523499005964E-06,,-0.00010924281161
48,12/15/2018 15:34,0,12/15/2018 15:33,14P9,,4,12,15,15,33,4,12,15,15,34,,1,1,95.25,0,0,,1,0,0,0,,0
